t,x,xdot,xddot,drag_aero,drag_hover,drag_ski,drag_brake,aerodrag_contribution,hoverdrag_contribution,skidrag_contribution,brakedrag_contribution,brakegap,Tload_brakes
0.8,0.627839999999999,1.5696,1.962,-0.000478120781250964,-0.00463246563472192,-0.0505259426279233,-0.00817067398222851,0.749321014831517,7.26009825697145,79.1853274108197,12.8052533173773,25,0.0451109038026574
0.810000000000001,0.643634099999999,1.58922,1.962,-0.000490301714469824,-0.00468293519892747,-0.0505219775075392,-0.00824975397817221,0.766755738167911,7.32338339695347,79.0085268198262,12.9013340450524,25,0.0450115494543891
0.820000000000001,0.659624399999999,1.60884,1.962,-0.000502635866974455,-0.00473321898458266,-0.0505180126983256,-0.00832832194110545,0.784361256952902,7.386169265094,78.8331564504829,12.9963130274702,25,0.0449128525170609
0.830000000000001,0.675810899999999,1.62846,1.962,-0.000515123238764859,-0.00478331762802325,-0.050514048200258,-0.00840638101191861,0.802136876795642,7.44846121107642,78.6591980490236,13.0902038631044,25,0.0448148108444825
0.840000000000001,0.692193599999999,1.64808,1.962,-0.000527763829841034,-0.00483323176341691,-0.0505100840133119,-0.00848393431228277,0.820081913907296,7.51026449860036,78.4866336553074,13.183019932185,25,0.04471742225651
0.850000000000001,0.708772499999999,1.6677,1.962,-0.000540557640202981,-0.00488296202277071,-0.0505061201374631,-0.00856098494476746,0.838195694860559,7.57158430711873,78.3154455969492,13.2747744010715,25,0.0446206845407184
0.860000000000001,0.725547599999999,1.68732,1.962,-0.000553504669850699,-0.0049325090359384,-0.050502156572687,-0.00863753599295761,0.856477556354944,7.63242573353306,78.1456164835916,13.3654802265204,25,0.0445245954540077
0.870000000000001,0.742518899999999,1.70694,1.962,-0.00056660491878419,-0.00498187343062781,-0.0504981933189593,-0.00871359052156977,0.874926844987663,7.6927937938485,77.9771292013129,13.455150159851,25,0.0444291527241461
0.880000000000001,0.759686399999999,1.72656,1.962,-0.000579858387003452,-0.00503105583240815,-0.0504942303762555,-0.00878915157656768,0.893542917029965,7.75269342478931,77.809966907168,13.5437967510127,25,0.0443343540512522
0.890000000000001,0.777050099999999,1.74618,1.962,-0.000593265074508487,-0.00508005686471736,-0.0504902677445513,-0.00886422218527708,0.912325138208767,7.81212948537621,77.6441130238597,13.6314323525553,25,0.0442401971092193
0.900000000000001,0.794609999999999,1.7658,1.962,-0.000606824981299293,-0.00512887714886931,-0.0504863054238222,-0.00893880535649985,0.931272883493441,7.87110675846645,77.4795512345336,13.7180691235065,25,0.0441466795470844
0.910000000000001,0.812366099999999,1.78542,1.962,-0.000620538107375871,-0.0051775173040611,-0.0504823434140439,-0.00901290408062743,0.95038553688761,7.92962995225769,77.3162654776975,13.8037190331572,25,0.0440537989903445
0.920000000000001,0.830318399999999,1.80504,1.962,-0.00063440445273822,-0.00522597794738029,-0.0504783817151918,-0.00908652132975354,0.969662491225835,7.98770370175675,77.1542399422581,13.8883938647594,25,0.0439615530422211
0.930000000000001,0.848466899999999,1.82466,1.962,-0.000648424017386342,-0.00527425969381206,-0.0504744203272417,-0.00915966005778626,0.989103147975034,8.045332570214,76.9934590626738,13.9721052191371,25,0.0438699392848773
0.940000000000001,0.866811599999999,1.84428,1.962,-0.000662596801320235,-0.00532236315624642,-0.0504704592501691,-0.00923232320055932,1.00870691704053,8.1025210505245,76.8339075142209,14.0548645182141,25,0.0437789552805877
0.950000000000001,0.885352499999999,1.8639,1.962,-0.0006769228045399,-0.00537028894548535,-0.0504664984839497,-0.00930451367594282,1.02847321657657,8.15927356659671,76.6755702083678,14.136683008459,25,0.0436885985728634
0.960000000000001,0.904089599999999,1.88352,1.962,-0.000691402027045337,-0.00541803767024995,-0.050462538028559,-0.00937623438395321,1.04840147280129,8.21559447468964,76.5184322882567,14.2175717642523,25,0.0435988666875353
0.970000000000001,0.923022899999999,1.90314,1.962,-0.000706034468836546,-0.00546560993718747,-0.0504585778839726,-0.00944748820686262,1.06849111981582,8.27148806471928,76.3624791242895,14.2975416911754,25,0.043509757133795
0.980000000000001,0.942152399999999,1.92276,1.962,-0.000720820129913527,-0.00551300635087849,-0.0504546180501662,-0.00951827800930745,1.08874159942767,8.32695856153517,76.207696309813,14.3766035292241,25,0.0434212674051975
0.990000000000001,0.961478099999999,1.94238,1.962,-0.000735759010276279,-0.00556022751384389,-0.0504506585271153,-0.00958860663839646,1.10915236097804,8.38201012616786,76.0540696569041,14.45476785595,25,0.0433333949806261
1,0.980999999999999,1.962,1.962,-0.000750851109924803,-0.00560727402655192,-0.0504466993147956,-0.00965847692381797,1.12972286117315,8.43664685704803,75.9015851922494,14.5320450895294,25,0.0432461373252205
1.01,1.0007181,1.98162,1.962,-0.000766096428859099,-0.00565414648742521,-0.0504427404131827,-0.00972789167794662,1.15045256391932,8.49087279119808,75.7502291531188,14.6084454917639,25,0.0431594918912705
1.02,1.0206324,2.00124,1.962,-0.000781494967079167,-0.00570084549284772,-0.0504387818222522,-0.00979685369594935,1.17134094016185,8.5446919053968,75.5999879834291,14.6839791710123,25,0.0430734561190773
1.03,1.04061201271994,1.99468254398859,-0.655745601140943,-0.000797046724585007,-0.00574737163717174,-0.0504348235419798,-0.00986536575589071,1.19238746772749,8.59810811731794,75.4508483298966,14.758656085058,25,0.0431021435845053
1.04,1.0605260716138,1.98812923478389,-0.655330920470384,-0.000791831921916093,-0.00573184072357414,-0.0504361464558769,-0.00984251733801967,1.18533566956084,8.58029977555491,75.5005725011433,14.733792053741,25,0.043130880755432
1.05,1.08037461816211,1.98158007487676,-0.654915990712258,-0.000786637516120848,-0.00571630038433517,-0.0504374685678565,-0.00981963335964451,1.17830594191981,8.56245801989675,75.5503871744769,14.7088488637066,25,0.0431596675878512
1.06,1.10015769387029,1.97503506675906,-0.654500811770245,-0.000781463476714161,-0.00570075063984721,-0.0504387898773512,-0.00979671382160679,1.17129827323378,8.54458279824606,75.6002925891727,14.6838263393475,25,0.0431885040372326
1.07,1.1198753402687,1.96849421292355,-0.654085383550591,-0.000776309773206257,-0.00568519151056978,-0.0504401103837934,-0.00977375872494748,1.16431265193749,8.5266740583534,75.6502889850528,14.6587243046563,25,0.0432173900585189
1.08,1.13952759891264,1.96195751586393,-0.653669705962113,-0.000771176375102702,-0.00566962301702945,-0.0504414300866151,-0.00975076807090751,1.15734906647119,8.50873174781678,75.7003766024878,14.6335425832243,25,0.0432463256061242
1.09,1.15911451138233,1.95542497807477,-0.653253778916209,-0.000766063251904415,-0.00565404517981992,-0.0504427489852484,-0.00972774186092822,1.15040750528077,8.49075581408125,75.7505556823973,14.6082809982407,25,0.043275310633932
1.1,1.17863611928296,1.9488966020515,-0.652837602326854,-0.000760970373107677,-0.00563845801960194,-0.0504440670791251,-0.00970468009665191,1.1434879568179,8.47274620443837,75.8008264662518,14.582939372492,25,0.0433043450952928
1.11,1.19809246424467,1.9423723902904,-0.652421176110612,-0.000755897708204139,-0.0056228615571033,-0.0504453843676767,-0.00968158277992228,1.1365904095402,8.45470286602584,75.8511891960735,14.5575175283604,25,0.0433334289430221
1.12,1.21748358792257,1.93585234528853,-0.652004500186638,-0.000750845226680836,-0.00560725581311886,-0.0504467008503346,-0.00965844991278495,1.12971485191138,8.43662574582692,75.901644114438,14.5320152878237,25,0.0433625621293988
1.13,1.23680953199673,1.92933646954376,-0.651587574476682,-0.000745812898020192,-0.00559164080851048,-0.05044801652653,-0.009635281497488,1.12286127240137,8.41851479067006,75.9521914644751,14.5064324724534,25,0.0433917446061624
1.14,1.25607033817222,1.92282476555471,-0.651170398905098,-0.000740800691700034,-0.00557601656420704,-0.050449331395694,-0.00961207753648236,1.11602965948648,8.40036994722838,76.0028314898703,14.4807689034149,25,0.0434209763245113
1.15,1.2752660481791,1.91631723582072,-0.650752973398844,-0.000735808577193606,-0.00556038310120441,-0.0504506454572574,-0.00958883803242241,1.10922000164957,8.38219116201923,76.0535644348659,14.4550244014653,25,0.0434502572351006
1.16,1.29439670377241,1.90981388284185,-0.650335297887488,-0.000730836523969575,-0.00554474044056543,-0.0504519587106511,-0.0095655629881664,1.10243228738015,8.3639783814037,76.1043905442626,14.4291987869536,25,0.04347958728804
1.17,1.31346234673221,1.90331470911882,-0.649917372303215,-0.000725884501492048,-0.00552908860341988,-0.0504532711553055,-0.00954225240677696,1.09566650517456,8.34573155158616,76.1553100634203,14.403291879819,25,0.0435089664328916
1.18,1.33246301886357,1.89681971715301,-0.649499196580829,-0.000720952479220583,-0.0055134276109645,-0.050454582790651,-0.0095189062915216,1.08892264353613,8.32745061861377,76.2063232382597,14.3773034995904,25,0.0435383946186678
1.19,1.35139876199657,1.89032890944643,-0.649080770657761,-0.0007160404266102,-0.0054977574844629,-0.050455893616118,-0.00949552464587317,1.0822006909753,8.30913552837605,76.2574303152636,14.3512334653851,25,0.043567871793829
1.2,1.37026961798631,1.88384228850169,-0.648662094474069,-0.000711148313111399,-0.00548207824524562,-0.0504572036311366,-0.00947210747351035,1.07550063600976,8.29078622660438,76.3086315414778,14.3250815959081,25,0.043597397906282
1.21,1.38907562871293,1.87735985682197,-0.648243167972447,-0.000706276108170169,-0.00546638991471003,-0.0504585128351367,-0.00944865477831817,1.06882246716464,8.27240265887148,76.3599271645128,14.2988477094511,25,0.0436269729033768
1.22,1.40781683608159,1.87088161691098,-0.647823991098228,-0.000701423781228005,-0.00545069251432037,-0.0504598212275482,-0.00942516656438842,1.06216617297265,8.25398477059106,76.4113174325448,14.2725316238915,25,0.0436565967319054
1.23,1.42649328202251,1.86440757127299,-0.647404563799388,-0.000696591301721923,-0.00543498606560768,-0.0504611288078008,-0.0094016428360202,1.05553174197419,8.23553250701718,76.4628025943172,14.2461331566914,25,0.0436862693380992
1.24,1.44510500849094,1.85793772241272,-0.646984886026552,-0.000691778639084473,-0.00541927059016979,-0.0504624355753243,-0.00937808359772034,1.04891916271753,8.21704581324391,76.5143828991417,14.2196521248969,25,0.0437159906676265
1.25,1.46365205746718,1.85147207283539,-0.646564957732999,-0.000686985762743757,-0.00540354610967132,-0.0504637415295481,-0.00935448885420393,1.04232842375898,8.19852463420478,76.5660585968995,14.1930883451367,25,0.0437457606655909
1.26,1.48213447095659,1.84501062504665,-0.646144778874663,-0.000682212642123442,-0.00538781264584359,-0.0504650466699015,-0.00933085861039473,1.03575951366298,8.17996891467232,76.6178299380431,14.1664416336216,25,0.0437755792765286
1.27,1.50055229098959,1.83855338155255,-0.645724349410142,-0.000677459246642779,-0.00537207022048466,-0.050466350995814,-0.00930719287142573,1.02921242100233,8.16137859925758,76.669697173597,14.1397118061431,25,0.0438054464444064
1.28,1.51890555962165,1.83210034485954,-0.645303669300699,-0.000672725545716619,-0.00535631885545926,-0.0504676545067146,-0.00928349164263951,1.02268713435826,8.14275363240963,76.7216605551593,14.1128986780728,25,0.0438353621126191
